sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro,sleepTotalTimeStampGMT
2022-11-03 05:33:00,2022-11-03 12:16:00,2022-11-03,ENHANCED_CONFIRMED,4260.0,13620.0,6240.0,60.0,0.0,False,06:43:00
2022-11-04 05:14:00,2022-11-04 11:56:00,2022-11-04,ENHANCED_CONFIRMED,4980.0,12900.0,5700.0,540.0,0.0,False,06:42:00
2022-11-05 05:27:00,2022-11-05 12:25:00,2022-11-05,ENHANCED_CONFIRMED,4440.0,14340.0,6180.0,120.0,0.0,False,06:58:00
2022-11-06 06:02:00,2022-11-06 15:14:00,2022-11-06,ENHANCED_CONFIRMED,6180.0,17820.0,9000.0,120.0,0.0,False,09:12:00
2022-11-07 05:31:00,2022-11-07 13:51:00,2022-11-07,ENHANCED_CONFIRMED,4560.0,17100.0,8280.0,60.0,0.0,False,08:20:00
2022-11-08 06:10:00,2022-11-08 13:45:00,2022-11-08,ENHANCED_CONFIRMED,1320.0,18300.0,7500.0,180.0,0.0,False,07:35:00
2022-11-09 05:52:00,2022-11-09 13:53:00,2022-11-09,ENHANCED_CONFIRMED,5580.0,13260.0,10020.0,0.0,0.0,False,08:01:00
2022-11-10 05:28:00,2022-11-10 14:00:00,2022-11-10,ENHANCED_CONFIRMED,5700.0,16800.0,7560.0,660.0,0.0,False,08:32:00
2022-11-11 05:43:00,2022-11-11 13:00:00,2022-11-11,ENHANCED_CONFIRMED,2820.0,14640.0,7620.0,1140.0,0.0,False,07:17:00
2022-11-12 09:58:00,2022-11-12 14:45:00,2022-11-12,ENHANCED_CONFIRMED,4920.0,8580.0,3660.0,60.0,0.0,False,04:47:00
2022-11-13 04:54:00,2022-11-13 15:59:00,2022-11-13,ENHANCED_CONFIRMED,7020.0,21660.0,10980.0,240.0,0.0,False,11:05:00
2022-11-14 05:10:00,2022-11-14 14:23:00,2022-11-14,ENHANCED_CONFIRMED,1680.0,22080.0,9360.0,60.0,0.0,False,09:13:00
2022-11-15 06:04:00,2022-11-15 12:42:00,2022-11-15,ENHANCED_CONFIRMED,3360.0,13680.0,6840.0,0.0,0.0,False,06:38:00
2022-11-16 06:22:00,2022-11-16 12:10:00,2022-11-16,ENHANCED_CONFIRMED,5820.0,10260.0,4800.0,0.0,0.0,False,05:48:00
2022-11-17 07:09:00,2022-11-17 14:28:00,2022-11-17,ENHANCED_CONFIRMED,5820.0,13620.0,6900.0,0.0,0.0,False,07:19:00
2022-11-18 07:31:00,2022-11-18 12:51:00,2022-11-18,ENHANCED_CONFIRMED,6720.0,9720.0,2700.0,60.0,0.0,False,05:20:00
2022-11-19 05:40:00,2022-11-19 14:01:00,2022-11-19,ENHANCED_CONFIRMED,3540.0,18240.0,8100.0,180.0,0.0,False,08:21:00
2022-11-20 02:41:00,2022-11-20 13:55:00,2022-11-20,ENHANCED_CONFIRMED,1920.0,27420.0,10620.0,480.0,0.0,False,11:14:00
2022-11-21 07:43:00,2022-11-21 17:03:00,2022-11-21,ENHANCED_CONFIRMED,4020.0,20280.0,8220.0,1080.0,0.0,False,09:20:00
2022-11-22 04:25:00,2022-11-22 16:01:00,2022-11-22,ENHANCED_CONFIRMED,3180.0,26700.0,8880.0,3000.0,0.0,False,11:36:00
2022-11-23 06:43:00,2022-11-23 13:24:00,2022-11-23,ENHANCED_CONFIRMED,6360.0,10920.0,6180.0,600.0,0.0,False,06:41:00
2022-11-24 05:22:00,2022-11-24 14:05:00,2022-11-24,ENHANCED_CONFIRMED,2460.0,20040.0,8700.0,180.0,0.0,False,08:43:00
2022-11-25 07:32:00,2022-11-25 12:21:00,2022-11-25,ENHANCED_CONFIRMED,4860.0,8760.0,3660.0,60.0,0.0,False,04:49:00
